Shipment_ID,Origin_Hub,Destination_Hub,Carrier_ID,Departure_Timestamp,Arrival_Timestamp,Delivery_Status
SHP000000,HUB004,HUB001,CAR005,2023-05-06T07:00:00,2023-05-08T00:00:00,Delayed
SHP000001,HUB014,HUB002,CAR001,2023-02-17T06:00:00,2023-02-19T11:00:00,Delivered
SHP000002,HUB018,HUB014,CAR004,,2023-08-21T05:00:00,Delayed
SHP000003,HUB011,HUB009,CAR003,2023-04-21T10:00:00,2023-04-22T23:00:00,Delivered
SHP000004,HUB002,HUB016,CAR009,2023-03-05T12:00:00,2023-03-06T22:00:00,Delivered
SHP000005,HUB019,HUB007,CAR002,2023-01-24T21:00:00,2023-01-27T02:00:00,Delayed
SHP000006,HUB013,HUB009,CAR008,2023-11-22T11:00:00,2023-11-24T07:00:00,Delivered
SHP000007,HUB003,HUB007,CAR009,2023-05-06T05:00:00,2023-05-09T16:00:00,Delivered
SHP000008,HUB011,HUB002,CAR004,2023-01-17T10:00:00,2023-01-20T13:00:00,Delivered
SHP000009,HUB011,HUB007,CAR008,2023-07-22T20:00:00,2023-07-26T06:00:00,Delivered
SHP000010,HUB019,HUB014,CAR010,2023-07-24T11:00:00,2023-07-26T15:00:00,Cancelled
SHP000011,HUB004,HUB006,CAR003,2023-12-15T13:00:00,2023-12-19T17:00:00,Delivered
SHP000012,HUB018,HUB001,CAR002,2023-12-16T17:00:00,2023-12-21T17:00:00,Delivered
SHP000013,HUB015,HUB001,CAR005,2023-09-14T05:00:00,2023-09-17T21:00:00,In Transit
SHP000014,HUB020,HUB007,CAR003,2023-07-11T05:00:00,2023-07-15T02:00:00,In Transit
SHP000015,HUB016,HUB001,CAR002,2023-07-05T09:00:00,2023-07-07T15:00:00,Delivered
SHP000016,HUB016,HUB003,CAR009,2023-03-06T04:00:00,2023-03-10T16:00:00,Delivered
SHP000017,HUB014,HUB007,CAR009,2023-12-20T06:00:00,2023-12-25T01:00:00,Delivered
SHP000018,HUB017,HUB015,CAR002,2023-05-07T07:00:00,2023-05-08T15:00:00,Delivered
SHP000019,HUB003,HUB002,CAR004,2023-02-04T01:00:00,2023-02-06T19:00:00,Delivered
SHP000020,HUB005,HUB020,CAR010,2023-08-31T07:00:00,2023-09-03T19:00:00,Delayed
SHP000021,HUB014,HUB015,CAR008,2023-01-28T21:00:00,2023-02-02T08:00:00,Cancelled
SHP000022,HUB004,HUB009,CAR004,2023-04-08T17:00:00,2023-04-12T02:00:00,Delivered
SHP000023,HUB003,HUB016,CAR009,2023-02-20T01:00:00,2023-02-24T12:00:00,Cancelled
SHP000024,HUB008,HUB006,,2023-09-06T15:00:00,2023-09-08T18:00:00,Delayed
SHP000025,HUB013,HUB009,CAR008,2023-05-27T13:00:00,2023-06-01T06:00:00,In Transit
SHP000026,HUB005,HUB008,CAR005,2023-04-22T01:00:00,2023-04-26T03:00:00,Delayed
SHP000027,HUB016,HUB018,CAR009,2023-03-22T01:00:00,2023-03-25T18:00:00,Delivered
SHP000028,HUB008,HUB014,CAR002,2023-10-19T07:00:00,2023-10-23T09:00:00,Delivered
SHP000029,HUB017,HUB011,CAR005,2023-04-15T21:00:00,2023-04-20T16:00:00,Delivered
SHP000030,HUB015,HUB011,CAR002,2023-01-05T14:00:00,2023-01-09T21:00:00,Cancelled
SHP000031,HUB009,HUB005,CAR006,2023-02-05T07:00:00,2023-02-08T06:00:00,Delivered
SHP000032,HUB017,HUB001,CAR009,2023-06-03T21:00:00,2023-06-05T10:00:00,In Transit
SHP000033,HUB018,HUB005,CAR005,2023-05-25T19:00:00,2023-05-27T21:00:00,Delayed
SHP000034,HUB016,HUB009,CAR001,2023-02-17T20:00:00,2023-02-21T02:00:00,Delayed
SHP000035,HUB009,HUB006,CAR008,2023-10-10T22:00:00,2023-10-14T04:00:00,Delivered
SHP000036,HUB005,HUB019,CAR001,2023-07-09T18:00:00,2023-07-13T16:00:00,Delivered
SHP000037,HUB002,HUB013,CAR004,2023-12-16T07:00:00,2023-12-20T20:00:00,Delivered
SHP000038,HUB020,HUB005,CAR004,2023-03-25T05:00:00,2023-03-28T09:00:00,Delivered
SHP000039,HUB008,HUB010,CAR003,2023-12-26T03:00:00,2023-12-29T03:00:00,Delayed
SHP000040,HUB015,HUB012,CAR005,2023-04-27T07:00:00,2023-04-28T10:00:00,Delivered
SHP000041,HUB009,HUB013,CAR009,2023-07-24T21:00:00,2023-07-28T17:00:00,Delivered
SHP000042,HUB019,HUB009,CAR001,2023-02-25T19:00:00,2023-03-01T02:00:00,Delivered
SHP000043,HUB004,HUB014,CAR010,,2023-04-09T13:00:00,Delayed
SHP000044,HUB007,HUB013,CAR007,2023-02-05T21:00:00,2023-02-08T15:00:00,Delivered
SHP000045,HUB017,HUB010,CAR007,2023-06-17T12:00:00,2023-06-22T05:00:00,Delivered
SHP000046,HUB006,HUB020,CAR005,2023-07-27T17:00:00,2023-07-28T17:00:00,Delivered
SHP000047,HUB011,HUB016,CAR008,2023-08-15T21:00:00,2023-08-18T00:00:00,Delivered
SHP000048,HUB003,HUB011,CAR009,2023-12-06T20:00:00,2023-12-11T03:00:00,Delivered
SHP000049,HUB008,HUB007,CAR003,2023-01-13T01:00:00,2023-01-15T08:00:00,Cancelled
SHP000050,HUB019,HUB007,CAR007,2023-09-11T12:00:00,2023-09-13T19:00:00,Delivered
SHP000051,HUB004,HUB015,CAR004,2023-04-01T22:00:00,2023-04-05T16:00:00,Delivered
SHP000052,HUB005,HUB016,CAR009,2023-10-14T19:00:00,2023-10-17T11:00:00,In Transit
SHP000053,HUB017,HUB014,CAR009,2023-08-17T05:00:00,2023-08-22T04:00:00,Delayed
SHP000054,HUB009,HUB018,CAR008,2023-11-17T07:00:00,2023-11-19T18:00:00,Delivered
SHP000055,HUB018,HUB003,CAR003,2023-03-19T07:00:00,2023-03-22T08:00:00,Delivered
SHP000056,HUB018,HUB015,CAR007,2023-02-01T06:00:00,2023-02-04T11:00:00,Delivered
SHP000057,HUB019,HUB013,CAR008,2023-01-04T11:00:00,2023-01-07T01:00:00,Delayed
SHP000058,HUB018,HUB008,CAR008,2023-04-23T08:00:00,2023-04-26T15:00:00,Delivered
SHP000059,HUB006,HUB016,CAR003,2023-11-15T17:00:00,2023-11-16T20:00:00,In Transit
SHP000060,HUB014,HUB005,CAR008,2023-04-04T01:00:00,2023-04-06T10:00:00,Delivered
SHP000061,HUB013,HUB009,CAR007,2023-05-10T02:00:00,2023-05-13T14:00:00,Delivered
SHP000062,HUB003,HUB002,CAR001,2023-05-07T06:00:00,2023-05-08T08:00:00,Delivered
SHP000063,HUB007,HUB016,CAR005,2023-07-08T05:00:00,2023-07-12T10:00:00,Delivered
SHP000064,HUB010,HUB004,CAR010,2023-01-14T09:00:00,2023-01-18T10:00:00,Delivered
SHP000065,HUB003,HUB020,CAR004,2023-02-22T22:00:00,2023-02-25T12:00:00,Delayed
SHP000066,HUB002,HUB013,CAR009,2023-08-08T21:00:00,2023-08-11T20:00:00,Delivered
SHP000067,HUB016,HUB004,CAR007,2023-07-05T20:00:00,2023-07-09T06:00:00,Delayed
SHP000068,HUB009,HUB019,CAR008,2023-08-27T13:00:00,2023-09-01T10:00:00,Delivered
SHP000069,HUB009,HUB016,CAR004,2023-08-26T18:00:00,2023-08-31T00:00:00,Delivered
SHP000070,HUB016,HUB007,CAR006,2023-05-13T10:00:00,2023-05-15T21:00:00,Delayed
SHP000071,HUB007,HUB003,CAR004,2023-07-28T15:00:00,2023-08-01T14:00:00,Delayed
SHP000072,HUB001,HUB004,CAR005,2023-04-24T12:00:00,2023-04-29T04:00:00,Delivered
SHP000073,HUB012,HUB015,CAR009,2023-06-19T11:00:00,2023-06-24T04:00:00,Delivered
SHP000074,HUB011,HUB004,CAR009,2023-12-20T05:00:00,2023-12-22T05:00:00,Delivered
SHP000075,HUB017,HUB010,CAR002,2023-04-10T09:00:00,2023-04-12T14:00:00,Delivered
SHP000076,HUB002,HUB003,CAR009,2023-05-30T22:00:00,2023-06-01T14:00:00,Delivered
SHP000077,HUB010,HUB017,CAR008,2023-08-14T10:00:00,2023-08-16T09:00:00,In Transit
SHP000078,HUB003,HUB014,CAR008,2023-02-07T18:00:00,2023-02-12T02:00:00,Delivered
SHP000079,HUB003,HUB009,CAR002,2023-10-13T13:00:00,2023-10-17T18:00:00,Delivered
SHP000080,HUB015,HUB010,CAR010,2023-08-08T09:00:00,2023-08-12T09:00:00,Delivered
SHP000081,HUB007,HUB008,CAR005,2023-12-05T02:00:00,2023-12-06T22:00:00,Delivered
SHP000082,HUB020,HUB016,CAR005,2023-01-17T07:00:00,2023-01-19T19:00:00,Delayed
SHP000083,HUB009,HUB020,CAR004,2023-08-06T03:00:00,2023-08-10T00:00:00,Delivered
SHP000084,HUB002,HUB007,CAR005,2023-11-01T23:00:00,2023-11-05T23:00:00,In Transit
SHP000085,HUB013,HUB009,CAR009,2023-10-04T15:00:00,2023-10-07T23:00:00,Delivered
SHP000086,HUB009,HUB001,CAR002,2023-04-28T21:00:00,2023-05-02T22:00:00,Delivered
SHP000087,HUB019,HUB002,CAR003,2023-08-29T16:00:00,2023-09-03T03:00:00,Delivered
SHP000088,HUB016,HUB003,CAR008,2023-06-28T13:00:00,2023-07-01T07:00:00,Delivered
SHP000089,HUB016,HUB010,CAR007,2023-10-09T01:00:00,2023-10-12T11:00:00,Delivered
SHP000090,HUB017,HUB001,CAR009,2023-08-25T13:00:00,2023-08-26T19:00:00,Delivered
SHP000091,HUB002,HUB008,CAR005,2023-10-09T04:00:00,2023-10-11T16:00:00,Delivered
SHP000092,HUB020,HUB008,CAR003,2023-06-09T17:00:00,2023-06-10T18:00:00,Delivered
SHP000093,HUB015,HUB004,CAR003,2023-09-13T22:00:00,2023-09-16T11:00:00,Delivered
SHP000094,HUB008,HUB016,CAR009,2023-03-16T12:00:00,2023-03-18T12:00:00,In Transit
SHP000095,HUB009,HUB015,CAR006,2023-09-17T08:00:00,2023-09-18T08:00:00,Delivered
SHP000096,HUB016,HUB005,CAR008,2023-10-03T15:00:00,2023-10-06T11:00:00,Delivered
SHP000097,HUB007,HUB009,CAR010,2023-07-16T07:00:00,2023-07-19T11:00:00,Delivered
SHP000098,HUB013,HUB005,CAR008,2023-01-19T04:00:00,2023-01-22T20:00:00,In Transit
SHP000099,HUB004,HUB018,CAR008,2023-01-08T23:00:00,2023-01-10T17:00:00,Delivered
SHP000100,HUB009,HUB012,CAR010,2023-12-21T12:00:00,2023-12-25T23:00:00,Delivered
SHP000101,HUB011,HUB017,CAR009,2023-01-19T19:00:00,2023-01-21T03:00:00,Delivered
SHP000102,HUB003,HUB015,CAR002,2023-11-21T22:00:00,2023-11-23T10:00:00,Delivered
SHP000103,HUB002,HUB011,CAR006,2023-07-11T13:00:00,2023-07-13T07:00:00,Delivered
SHP000104,HUB006,HUB003,CAR010,2023-07-15T19:00:00,2023-07-20T10:00:00,Delivered
SHP000105,HUB009,HUB016,CAR005,2023-12-08T00:00:00,2023-12-11T11:00:00,In Transit
SHP000106,HUB012,HUB020,CAR005,2023-11-24T13:00:00,2023-11-29T05:00:00,Delivered
SHP000107,HUB016,HUB004,CAR004,2023-07-15T18:00:00,2023-07-18T15:00:00,Delivered
SHP000108,HUB013,HUB009,CAR001,2023-10-17T21:00:00,2023-10-22T20:00:00,In Transit
SHP000109,HUB010,HUB008,CAR010,2023-06-30T07:00:00,2023-07-04T16:00:00,Delivered
SHP000110,HUB005,HUB004,CAR001,2023-06-08T14:00:00,2023-06-09T18:00:00,Delivered
SHP000111,HUB014,HUB006,CAR004,2023-03-09T17:00:00,2023-03-12T15:00:00,Delivered
SHP000112,HUB016,HUB010,CAR006,2023-02-28T14:00:00,2023-03-01T23:00:00,Delivered
SHP000113,HUB013,HUB019,CAR006,2023-02-16T12:00:00,2023-02-17T13:00:00,Delivered
SHP000114,HUB009,HUB020,CAR007,2023-11-23T11:00:00,2023-11-25T00:00:00,Delivered
SHP000115,HUB011,HUB008,CAR002,2023-11-22T14:00:00,2023-11-27T07:00:00,Delivered
SHP000116,HUB010,HUB017,CAR002,2023-02-19T07:00:00,2023-02-23T03:00:00,Delivered
SHP000117,HUB018,HUB014,CAR010,2023-03-21T13:00:00,2023-03-26T00:00:00,Delivered
SHP000118,HUB002,HUB013,CAR004,2023-08-16T14:00:00,2023-08-18T20:00:00,Delayed
SHP000119,HUB012,HUB002,CAR007,2023-05-22T06:00:00,2023-05-23T21:00:00,In Transit
SHP000120,HUB020,HUB001,CAR001,2023-06-20T07:00:00,2023-06-21T23:00:00,Delayed
SHP000121,HUB019,HUB007,CAR004,2023-06-18T04:00:00,2023-06-22T08:00:00,Delivered
SHP000122,HUB009,HUB006,CAR002,2023-12-05T00:00:00,2023-12-06T16:00:00,Delivered
SHP000123,HUB006,HUB010,CAR001,2023-03-06T23:00:00,2023-03-10T04:00:00,Delivered
SHP000124,HUB017,HUB020,CAR002,2023-08-20T16:00:00,2023-08-22T20:00:00,In Transit
SHP000125,HUB017,HUB010,CAR008,2023-11-26T00:00:00,2023-11-27T07:00:00,Cancelled
SHP000126,HUB015,HUB003,CAR002,2023-06-14T19:00:00,2023-06-16T13:00:00,Delivered
SHP000127,HUB011,HUB014,CAR010,2023-09-29T09:00:00,2023-10-02T19:00:00,Delivered
SHP000128,HUB018,HUB007,CAR007,2023-08-20T07:00:00,2023-08-23T11:00:00,Delivered
SHP000129,HUB014,HUB011,CAR005,2023-07-11T04:00:00,2023-07-15T19:00:00,In Transit
SHP000130,HUB004,HUB013,CAR003,2023-10-12T01:00:00,2023-10-16T04:00:00,In Transit
SHP000131,HUB014,HUB002,CAR005,2023-11-04T09:00:00,2023-11-07T06:00:00,Delivered
SHP000132,HUB004,HUB013,CAR009,2023-07-08T03:00:00,2023-07-10T14:00:00,Delivered
SHP000133,HUB020,HUB018,CAR001,2023-11-08T21:00:00,2023-11-13T13:00:00,Delivered
SHP000134,HUB011,HUB013,CAR001,2023-04-03T04:00:00,2023-04-07T04:00:00,Delivered
SHP000135,HUB003,HUB018,CAR004,2023-07-12T13:00:00,2023-07-15T23:00:00,Delivered
