CA,23,188
CA,59,387
WA,26,56
MO,22,213
CA,14,203
CA,59,235
AL,1,174
OH,2,307
PA,64,238
PA,61,264
FL,31,139
FL,24,436
GA,61,417
OH,50,281
IL,92,188
NJ,1,435
CA,16,196
IN,52,346
AZ,89,465
OH,46,186
CO,52,269
IL,64,252
CA,10,46
KY,8,107
MI,15,193
NC,56,168
SC,84,213
AZ,21,406
IN,21,218
GA,44,456
DC,58,166
NY,1,239
TX,14,104
NY,62,460
AL,88,199
WV,12,464
IL,94,116
CA,90,117
DC,71,389
OK,50,227
CA,82,300
TX,51,346
NC,98,371
WA,82,240
CO,3,59
GA,82,84
CA,45,399
DC,13,75
NY,97,136
FL,64,348
IL,83,323
CO,68,456
GA,60,39
MS,57,386
LA,20,181
MO,62,356
NY,20,210
MS,34,485
TN,96,37
SC,59,5
FL,59,269
PA,19,48
IL,1,361
AR,4,78
FL,33,480
NC,58,30
CA,33,425
CA,43,117
KY,41,178
CA,81,343
TX,87,271
AR,91,202
MN,95,64
CA,92,232
DC,88,354
CA,28,377
NY,86,18
FL,99,362
PA,76,482
CA,83,254
IA,47,319
CA,40,494
OH,89,452
IA,34,388
FL,77,350
CO,66,481
PA,61,496
OK,50,59
CA,63,187
NC,1,182
PA,2,385
FL,87,65
GA,38,404
CA,21,397
NC,81,194
MA,56,266
FL,20,418
TX,71,431
OH,37,290
CA,85,474
MN,12,478
LA,96,247
FL,13,249
NV,47,359
LA,75,161
WA,74,308
CT,23,257
CA,9,232
CA,28,293
IL,76,471
PA,57,368
NY,29,332
CT,86,366
FL,27,498
GA,58,368
KS,87,489
FL,27,224
CT,56,354
UT,55,57
OH,43,438
IL,7,277
CO,63,259
AL,28,127
PA,5,109
LA,2,30
IA,80,240
WV,36,197
TX,63,497
FL,38,354
CA,57,487
NY,28,53
FL,43,43
AL,51,96
MN,4,39
CA,6,454
TX,52,105
AL,2,213
CA,88,363
SC,8,8
VA,52,496
NJ,74,293
OH,85,120
MN,36,59
GA,49,424
FL,80,469
CA,69,494
FL,80,248
TN,50,230
KY,9,118
TX,38,136
WV,59,287
SD,73,106
LA,91,188
IL,92,457
DC,100,325
CO,2,260
OH,20,329
NY,33,419
DC,21,209
AZ,83,405
OR,26,461
CT,64,111
AZ,9,264
TX,95,372
IN,47,174
TX,62,261
KS,66,247
LA,46,99
TX,68,405
TX,49,231
IN,79,90
WI,58,75
CA,60,165
AR,90,425
TX,14,493
MD,48,312
OH,39,138
AZ,62,292
NY,15,160
CA,76,373
CA,63,160
FL,45,239
NM,33,372
MI,2,57
LA,87,102
WV,21,449
OH,96,351
MN,12,427
TX,24,418
TX,76,290
IN,61,439
NY,33,255
GA,95,376
NY,11,426
CA,48,443
KY,51,180
NM,77,409
OK,75,188
CA,2,387
AZ,33,227
FL,38,26
CA,87,63
CO,47,393
MD,40,348
SC,42,219
OK,71,433
CO,79,135
LA,85,462
MT,10,93
FL,22,97
FL,30,327
PA,70,414
CT,35,148
NY,99,128
UT,97,171
FL,45,400
NJ,75,374
TN,48,171
FL,72,162
LA,34,449
PA,79,465
CA,86,34
IN,99,279
TN,70,297
FL,66,245
CO,91,291
AL,30,374
CA,18,110
FL,65,273
LA,90,307
OR,79,412
PA,68,51
HI,20,496
AZ,21,402
CA,89,267
AL,54,25
TX,50,471
FL,84,183
PA,37,85
NY,45,115
AZ,50,490
CA,77,230
CA,42,328
LA,62,51
GA,62,476
IA,74,397
OR,63,402
CA,62,109
FL,36,284
VA,79,126
DC,51,325
IL,33,312
DC,63,313
MA,19,133
FL,64,360
WV,42,67
FL,3,223
CA,14,436
TX,66,440
TX,14,182
AK,5,445
CA,98,189
TX,48,271
GA,30,180
GA,75,83
TX,95,446
SD,57,120
GA,77,436
OH,44,87
CA,44,327
NV,7,83
NV,78,213
VA,1,267
OH,84,406
MO,20,401
CA,53,479
FL,35,111
NY,63,76
GA,71,463
DC,45,391
CO,17,319
NY,21,2
PA,15,195
IL,87,254
CA,20,276
FL,76,448
FL,95,191
VA,99,237
TX,24,184
NV,29,484
CA,34,107
OH,99,301
CA,52,214
NE,36,387
OH,1,270
MA,43,34
CA,64,191
TX,17,488
MO,13,183
VA,75,237
CA,70,10
MD,79,373
OH,23,428
NJ,31,298
FL,61,439
GA,1,375
CA,95,86
IL,53,162
DC,1,407
CA,58,399
NY,58,413
CA,53,421
MN,40,412
NY,72,305
NC,22,73
FL,86,106
KY,63,367
VA,5,240
TX,100,137
CA,86,275
DC,43,350
CA,18,352
OH,35,451
IL,91,187
NY,65,6
PA,34,372
GA,40,120
FL,68,371
WA,64,140
FL,39,112
IL,19,456
DC,66,128
NV,41,300
IL,93,251
FL,58,113
SC,67,191
GA,3,73
TX,95,67
NY,42,280
GA,100,119
NY,53,16
HI,32,256
AZ,15,161
FL,92,488
TX,54,468
SD,88,176
TN,97,24
TX,14,412
NV,50,450
NY,30,475
OK,68,291
VA,81,284
TX,48,493
AL,39,219
NM,67,116
WV,5,125
ND,21,126
ND,58,243
OR,8,201
TX,34,403
OH,95,424
MO,7,363
TX,81,281
OK,49,113
SC,59,20
VA,4,284
IL,28,24
LA,62,443
MA,73,370
TX,10,198
PA,85,217
TX,60,492
MI,31,337
MO,99,345
MI,35,425
MS,21,354
WI,98,424
CA,8,403
DE,46,444
NY,45,66
WA,11,80
TN,27,326
AL,3,290
NY,59,299
TX,47,487
LA,39,330
CA,88,266
TN,72,289
UT,12,342
NY,21,245
NJ,100,410
TX,34,50
UT,68,332
SD,96,272
AZ,7,39
MA,74,268
AZ,33,34
NY,1,494
DC,56,41
TX,95,462
MS,68,14
PA,10,133
AL,14,309
CA,65,99
MA,29,432
IN,11,239
MI,13,385
CA,36,227
VA,75,202
TX,38,7
NY,72,443
MI,63,79
AK,7,291
TX,43,275
CA,90,17
CA,87,170
VA,46,44
TX,89,275
TX,84,343
TX,36,169
WA,64,225
DE,68,372
MS,95,421
FL,72,11
FL,48,184
PA,15,193
NY,49,241
CO,58,437
OH,51,451
NY,76,68
FL,86,331
CA,91,432
PA,53,362
TX,47,160
AZ,36,356
LA,4,95
WA,54,359
TX,36,121
MO,70,474
AL,3,76
GA,56,233
MI,48,306
AZ,100,327
MS,62,287
FL,34,68
IL,22,33
CA,70,193
FL,12,348
CA,80,83
FL,53,396
IL,54,160
NC,54,46
FL,85,206
MN,86,45
MI,93,336
OH,28,95
DC,91,387
WA,56,5
UT,25,135
PA,15,120
NY,98,115
DC,21,301
TX,99,231
GA,19,365
TX,97,301
CT,97,68
WV,89,116
KY,84,165
CA,97,196
AZ,48,336
CA,95,445
WA,8,155
GA,11,114
MA,47,10
KS,100,201
TX,51,19
TN,71,200
OK,8,418
MD,69,297
CA,41,175
MN,4,290
CA,74,282
NY,42,391
SC,30,152
CA,47,265
NC,30,217
NE,73,349
FL,53,337
CA,53,42
TX,79,208
TX,14,101
OH,89,95
WA,62,36
WA,79,93
VA,21,197
IL,38,288
VA,26,372
NY,60,315
AL,20,480
MO,54,52
CA,63,307
LA,40,373
TX,2,353
NC,10,89
PA,42,401
CA,70,118
